timestamp,batch,run,provider,model,variant,group,seed,nonce,section_words,first_cached,warm_attempts,warmed,base_input,base_cached,status,error,input,cached,cache_write,output,reasoning
2026-09-18T20:45:54.336Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,strip_item_ids,loop,1042693384,7c749e94e6e2,1500,6213,2,true,6578,6575,200,,6578,6575,0,5,0
2026-09-18T20:45:54.756Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,drop_reasoning,loop,1340755058,172996624408,1500,6186,2,true,6596,6593,400,Item 'fc_0db049a5a7cc0e54006aada2faa26487d096aa1a8743d7a8e8' of type 'function_call' was provided without its required 'reasoning' item: 'rs_0db049a5a7cc0e54006aada2f74d0487d0bf1c9663d28a6c34'.,,,,,
2026-09-18T20:45:55.040Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,control,control,1576414044,6cd418975f27,1500,6214,2,true,6692,6689,200,,6692,6689,0,5,0
2026-09-18T20:45:55.292Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,output_items_by_reference,loop,519693657,26e7c9172cdf,1500,6197,2,true,6596,6593,200,,6596,6593,0,5,0
2026-09-18T20:45:55.570Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,drop_reasoning_strip_ids,loop,1201492006,262abf3c50f7,1500,6204,2,true,6593,6590,200,,6452,6204,245,5,0
2026-09-18T20:45:58.011Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,reasoning_by_reference,loop,1756353965,c92dbb11e692,1500,6204,2,true,6661,6658,200,,6661,6658,0,5,0
2026-09-18T20:46:07.149Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,previous_response_id,loop,1239011217,0008f12d37ee,1500,6222,2,true,6658,6655,200,,6658,6655,0,5,0
2026-09-18T20:46:08.414Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,then_user_turn_no_reasoning,loop,1173248081,72f80789d155,1500,6183,2,true,6550,6547,200,,6488,6183,302,5,0
2026-09-18T20:46:09.115Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,then_user_turn,loop,742434765,7d98f60036f1,1500,6205,2,true,6566,6563,200,,6622,6563,56,5,0
2026-09-18T20:46:09.876Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,tool_output_edit,loop,1769461594,e2a4a1baec2d,1500,6200,2,true,6629,6626,200,,6630,6200,427,5,0
2026-09-18T20:46:11.367Z,2026-09-18T20:45:42.337Z,0,openai_responses,gpt-5.6-sol,effort_medium,reasoning,1812233518,b63d4f8e20f5,1500,6218,2,true,6712,6709,200,,6712,0,6709,5,0
2026-09-18T20:46:36.793Z,2026-09-18T20:46:25.247Z,0,openai_responses,gpt-5.6-sol,control,control,270051360,5c0376a28fbd,1500,6209,2,true,6567,6564,200,,6567,6564,0,5,0
2026-09-18T20:46:38.060Z,2026-09-18T20:46:25.247Z,0,openai_responses,gpt-5.6-sol,drop_reasoning,loop,117211437,7bc1934880a0,1500,6194,2,true,6587,6584,400,Item 'fc_01dcda5567973c12006aada3266dcc87d0af54b8b9c251fb6a' of type 'function_call' was provided without its required 'reasoning' item: 'rs_01dcda5567973c12006aada32229d087d09501900d3ecbfb1e'.,,,,,
2026-09-18T20:46:38.943Z,2026-09-18T20:46:25.247Z,0,openai_responses,gpt-5.6-sol,strip_item_ids,loop,1761864283,1d8b54f07f5f,1500,6213,2,true,6621,6618,200,,6621,6618,0,5,0
2026-09-18T20:46:40.573Z,2026-09-18T20:46:25.247Z,0,openai_responses,gpt-5.6-sol,reasoning_by_reference,loop,1771611401,ca11f9016f6b,1500,6211,2,true,6612,6609,200,,6612,6609,0,5,0
2026-09-18T20:46:41.987Z,2026-09-18T20:46:25.247Z,0,openai_responses,gpt-5.6-sol,output_items_by_reference,loop,2006554462,cf5be537b631,1500,6208,2,true,6871,6868,200,,6871,6868,0,5,0
2026-09-18T20:46:44.788Z,2026-09-18T20:46:25.247Z,0,openai_responses,gpt-5.6-sol,drop_reasoning_strip_ids,loop,323506957,95fdefa57084,1500,6199,2,true,6668,6665,200,,6447,6199,245,5,0
2026-09-18T20:46:49.904Z,2026-09-18T20:46:25.247Z,0,openai_responses,gpt-5.6-sol,previous_response_id,loop,1955624750,1b5cf19e7dfb,1500,6192,2,true,6599,6596,200,,6599,6596,0,5,0
2026-09-18T20:46:50.328Z,2026-09-18T20:46:25.247Z,0,openai_responses,gpt-5.6-sol,tool_output_edit,loop,1088954411,5f8f926673ce,1500,6213,2,true,6624,6621,200,,6625,6213,409,5,0
2026-09-18T20:46:54.820Z,2026-09-18T20:46:25.247Z,0,openai_responses,gpt-5.6-sol,then_user_turn_no_reasoning,loop,1362700694,05fd1b3d7bd5,1500,6239,2,true,6600,6597,200,,6544,6239,302,5,0
